Site;lon;lat
Port Edward; 30.243578;-31.035464
T.O. Strand; 30.238326;-31.032408
Leisure Bay; 18.469821;-33.899890
Glenmore; 31.064912;-29.876252
Trafalgar; 30.301556;-30.958050
San Lameer; 30.303917;-30.946016
Kent Bay; 30.308433;-30.936703
Southbroom; 30.315734;-30.932822
Ramsgate; 30.368465;-30.871599
Margate; 30.392104;-30.851175
Uvongo; 30.397018;-30.834908
St Michaels; 30.405115;-30.826828
Umtentweni; 30.471250;-30.724381
South Port; 30.504969;-30.682896
Sunwich Port; 30.513842;-30.668534
Banana Beach; 30.518293;-30.661647
Umzumbe; 30.546177;-30.624400
Hibberdene; 30.579794;-30.572395
Park Rynie; 30.743451;-30.319163
Scottburgh; 30.751947;-30.299094
Umgababa; 30.843302;-30.137592
Karridene; 30.847872;-30.126576
Warner Beach; 30.868970;-30.083811
Winkelspruit; 30.857695;-30.105136
Amanzimtoti; 30.902679;-30.039675
Durban; 31.039423;-29.825407
Westbrook; 31.177357;-29.585853
Antseys Beach; 31.020224;-29.923605
Umhlanga rocks; 31.083519;-29.737620
Umdloti; 31.125101;-29.665116
Ballito; 31.235477;-29.522100
Blythedale; 31.352397;-29.372437
Zinkwazi; 31.439939;-29.289588
Richards bay; 32.085108;-28.828454
Thompson's Bay;31.22801;-29.522965
Salt Rock;31.245082;-29.498601
